index,column,dtype,n_missing,pct_missing,n_unique,min,median,max,mean,top_values
1,id,int64,0,0.0,3916,12.0,20450.5,25449.0,20382.182,
2,body_id,int64,0,0.0,1,42.0,42.0,42.0,42.0,
3,body_key,object,0,0.0,1,,,,,CHE (3916)
4,external_id,object,0,0.0,3912,,,,,1 (2); 398 (2); 508 (2)
5,fullname,object,0,0.0,3868,,,,,Jakob Müller (3); Achille Borella (2); Giovanni Polar (2)
6,firstname,object,1,0.03,1441,,,,,Hans (96); Walter (62); Paul (61)
7,lastname,object,0,0.0,2470,,,,,Müller (46); Schmid (26); Weber (21)
8,party_de,object,289,7.38,77,,,,,FDP-Liberale (1210); CVP (732); SP (492)
9,party_fr,object,289,7.38,92,,,,,PLR (1206); PDC (733); PSS (472)
10,party_it,object,289,7.38,75,,,,,PLR (1211); PPD (735); PSS (492)
11,party_external_id,object,277,7.07,74,,,,,Party_15 (1209); Party_14 (732); Party_12 (491)
12,party_harmonized_de,object,723,18.46,21,,,,,FDP.Die Liberalen (1211); Christlichdemokratische Volkspartei der  (732); Sozialdemokratische Partei (493)
13,party_harmonized_fr,object,723,18.46,21,,,,,PLR.Les Libéraux-Radicaux (1211); Parti démocrate-chrétien (732); Parti Socialiste (493)
14,party_harmonized_it,object,723,18.46,21,,,,,PLR.I Liberali Radicali (1211); Partito popolare democratico (732); Partito Socialista (493)
15,party_harmonized_en,object,723,18.46,21,,,,,FDP.The Liberals (1211); Christian Democratic People's Party (732); Social Democratic Party of Switzerland (493)
16,party_harmonized_wikidata_id,object,731,18.67,20,,,,,Q202638 (1211); Q659461 (732); Q303745 (493)
17,external_alternative_id,object,2463,62.9,1452,,,,,Merki Roger/Lopez José M. (2); 2599 (1); 17401 (1)
18,website_parliament_url_de,object,260,6.64,3656,,,,,https://www.parlament.ch/de/biografie/an (1); https://www.parlament.ch/de/biografie/pi (1); https://www.parlament.ch/de/biografie/pe (1)
19,website_parliament_url_fr,object,259,6.61,3657,,,,,https://www.parlament.ch/fr/biografie/an (1); https://www.parlament.ch/fr/biografie/pi (1); https://www.parlament.ch/fr/biografie/pe (1)
20,website_parliament_url_it,object,260,6.64,3656,,,,,https://www.parlament.ch/it/biografie/an (1); https://www.parlament.ch/it/biografie/pi (1); https://www.parlament.ch/it/biografie/pe (1)
21,image_url_external,object,2837,72.45,1079,,,,,https://www.parlament.ch/sitecollectioni (1); https://www.parlament.ch/sitecollectioni (1); https://www.parlament.ch/sitecollectioni (1)
22,image_url_oparl,object,2841,72.55,1075,,,,,https://files.openparldata.ch/images/per (1); https://files.openparldata.ch/images/per (1); https://files.openparldata.ch/images/per (1)
23,email,object,3648,93.16,268,,,,,anna-beatrice.schmaltz@parl.ch (1); pascal.broulis@parl.ch (1); kris.vietze@parl.ch (1)
24,phone,object,3798,96.99,118,,,,,+41 79 290 06 74 (1); +41 58 958 58 58 (1); +41 21 312 69 22 (1)
25,birthday,datetime64[ms],261,6.66,3542,,,,,1894-01-19 00:00:00 (3); 1877-01-15 00:00:00 (3); 1903-07-08 00:00:00 (3)
26,birthday_format,object,0,0.0,3,,,,,day (3761); year (146); month (9)
27,deathday,datetime64[ms],1119,28.58,2738,,,,,1977-04-02 00:00:00 (2); 1910-09-20 00:00:00 (2); 1898-08-21 00:00:00 (2)
28,street,object,3677,93.9,236,,,,,Sonnenstrasse 9 (2); Postfach (2); Theaterplatz 4 (2)
29,postal_code,object,3668,93.67,195,,,,,3003 (5); 7000 (4); 4500 (4)
30,city,object,3623,92.52,189,,,,,Zürich (24); Bern (16); Lausanne (10)
31,occupation_de,object,3650,93.21,181,,,,,Unternehmer/in (14); Advokat/in (13); Rechtsanwalt/anwältin (9)
32,occupation_fr,object,3669,93.69,160,,,,,Avocat/e (23); Entrepreneur/e (14); Agriculteur/rice (9)
33,occupation_it,object,3695,94.36,141,,,,,Avvocato/Avvocata (23); Imprenditore/Imprenditrice (14); Agricoltore/Agricoltrice (8)
34,title,object,3353,85.62,256,,,,,lic. iur. (57); Dr. iur. (49); lic. en droit (26)
35,marital_status_de,object,3824,97.65,4,,,,,verheiratet (84); ledig (6); in eingetragener Partnerschaft (1)
36,marital_status_fr,object,3824,97.65,5,,,,,marié(e) (83); célibataire (6); lié(e) par un partenariat enregistré (1)
37,marital_status_it,object,3824,97.65,4,,,,,coniugata/o (84); nubile/celibe (6); in unione domestica registrata (1)
38,electoral_district_de,object,276,7.05,74,,,,,Bern (478); Zürich (447); Waadt (301)
39,electoral_district_fr,object,276,7.05,48,,,,,Berne (471); Zurich (451); Vaud (315)
40,electoral_district_it,object,276,7.05,27,,,,,Berna (481); Zurigo (451); Vaud (316)
